protein,fold_change,pval,n healthy,n sick,p_adj
P344,-0.105052188,3.24E-03,1006,48603,2.75E-02
P345,0.092535757,3.31E-03,1006,48603,2.80E-02
P346,0.033977857,3.32E-03,1006,48603,2.80E-02
P347,0.041035981,3.35E-03,1006,48603,2.82E-02
P348,0.044317397,3.37E-03,1006,48603,2.83E-02
P349,0.034831071,3.41E-03,1006,48603,2.85E-02
P350,0.13155986,3.43E-03,1006,48603,2.86E-02
P351,-0.029173697,3.46E-03,1006,48603,2.88E-02
P352,-0.102247742,3.48E-03,1006,48603,2.89E-02
P353,-0.025394496,3.50E-03,1006,48603,2.90E-02
P354,0.064761888,3.51E-03,1006,48603,2.90E-02
P355,-0.050451197,3.54E-03,1006,48603,2.91E-02
P356,0.055126308,3.60E-03,1006,48603,2.95E-02
P357,-0.196967254,3.66E-03,1006,48603,3.00E-02
P358,0.074161761,3.84E-03,1006,48603,3.14E-02
P359,-0.072017726,3.91E-03,1006,48603,3.18E-02
P360,0.035626464,3.95E-03,1006,48603,3.21E-02
P361,-0.084974067,3.98E-03,1006,48603,3.22E-02
P362,0.031543855,4.06E-03,1006,48603,3.28E-02
P363,-0.031872062,4.10E-03,1006,48603,3.29E-02
P364,0.0359016,4.10E-03,1006,48603,3.29E-02
P365,0.030709606,4.12E-03,1006,48603,3.30E-02
P366,0.064870078,4.23E-03,1006,48603,3.37E-02
P367,0.037345278,4.25E-03,1006,48603,3.38E-02
P368,-0.049079165,4.29E-03,1006,48603,3.41E-02
P369,0.031074269,4.36E-03,1006,48603,3.45E-02
P370,0.077897092,4.37E-03,1006,48603,3.45E-02
P371,0.06057999,4.40E-03,1006,48603,3.47E-02
P372,0.0959288,4.43E-03,1006,48603,3.48E-02
P373,0.043909824,4.45E-03,1006,48603,3.49E-02
P374,0.055887614,4.47E-03,1006,48603,3.49E-02
P375,0.097736815,4.51E-03,1006,48603,3.52E-02
P376,0.078096829,4.53E-03,1006,48603,3.52E-02
P377,0.09755744,4.56E-03,1006,48603,3.53E-02
P378,0.053500352,4.58E-03,1006,48603,3.54E-02
P379,0.131557369,4.71E-03,1006,48603,3.63E-02
P380,0.029067363,4.78E-03,1006,48603,3.67E-02
P381,-0.045211083,4.79E-03,1006,48603,3.68E-02
P382,0.048583827,4.91E-03,1006,48603,3.76E-02
P383,0.032224387,4.95E-03,1006,48603,3.78E-02
P384,-0.026786972,4.96E-03,1006,48603,3.78E-02
P385,0.035152002,4.99E-03,1006,48603,3.79E-02
P386,-0.022414714,5.02E-03,1006,48603,3.80E-02
P387,-0.043766886,5.13E-03,1006,48603,3.84E-02
P388,0.031484372,5.10E-03,1006,48603,3.84E-02
P389,0.051482157,5.13E-03,1006,48603,3.84E-02
P390,-0.03767502,5.08E-03,1006,48603,3.84E-02
P391,-0.031858594,5.12E-03,1006,48603,3.84E-02
P392,0.046759687,5.17E-03,1006,48603,3.86E-02
P393,0.040436013,5.23E-03,1006,48603,3.89E-02
P394,0.019582913,5.46E-03,1006,48603,4.05E-02
P395,-0.064855875,5.48E-03,1006,48603,4.06E-02
P396,0.094371962,5.54E-03,1006,48603,4.09E-02
P397,-0.070287215,5.74E-03,1006,48603,4.22E-02
